map_name,hero,Healing Done,Time Played,Healing per Second
King's Row,Moira,1882417.364725033,67797.5259897866,27.76528106657772
King's Row,Zenyatta,3137562.440797193,216949.75796281695,14.462161517299043
Lijiang Tower,Ana,995818.0609599071,61265.878374425294,16.254040379115814
Lijiang Tower,Baptiste,1246371.2755751195,52863.94908702903,23.5769611824353
Lijiang Tower,Brigitte,1000585.2967954315,64193.20446121717,15.58709064601913
Lijiang Tower,Lúcio,2732685.263413495,215988.80406646966,12.651976454170848
Lijiang Tower,Mercy,1719058.4233459365,97808.7033245974,17.575720410492544
Lijiang Tower,Moira,2626900.704787969,92697.94646676678,28.33828369358475
Lijiang Tower,Zenyatta,1721970.7440755644,120436.15693759128,14.297788868901481
Nepal,Ana,635194.8778086484,43063.4584421618,14.750205877258413
Nepal,Baptiste,816660.3047207711,38928.87991101587,20.97826360757113
Nepal,Brigitte,1357414.0252645828,87438.01442937032,15.524300661711152
Nepal,Lúcio,1823421.7815002832,153903.95819256446,11.847790030317608
Nepal,Mercy,1137832.7857950097,71286.81754617023,15.961335138268321
Nepal,Moira,877896.534439862,33455.12328318851,26.241019260598947
Nepal,Zenyatta,1926968.191474625,145298.54530846144,13.26212996409406
Numbani,Ana,1110840.7867607125,76528.87262987636,14.515316227552105
Numbani,Baptiste,623414.6386083221,31842.077027261344,19.578328325586003
Numbani,Brigitte,1545625.6185818196,102817.05718530492,15.032774336228789
Numbani,Lúcio,979361.4612453498,104907.86853475892,9.335443326835488
Numbani,Mercy,2486430.510497194,143553.30491075892,17.32060792360652
Numbani,Moira,593817.0914389815,24645.128043747598,24.094705062391885
Numbani,Zenyatta,2203556.4231823245,162060.32788439488,13.597136646263133
Oasis,Ana,997902.5171822981,65481.65627465748,15.239420838664758
Oasis,Baptiste,812513.2622700057,36482.7731391374,22.271148609543904
Oasis,Brigitte,1624738.6954585582,109034.1812522839,14.901186736104604
Oasis,Lúcio,1582396.3097872685,144653.61954362033,10.939209919390207
Oasis,Mercy,2131603.010768243,123916.52785739435,17.201926551890924
Oasis,Moira,1215231.0373745624,47916.18955713359,25.361595915834737
Oasis,Zenyatta,1775074.0551048499,141799.15321273165,12.518227470948482
Paris,Ana,498667.5135782249,39526.24219424199,12.616112382443191
Paris,Baptiste,369789.6303065,20691.798985872003,17.87131368127952
Paris,Brigitte,667890.1992018002,48821.015834667975,13.680383084686431
Paris,Lúcio,572634.8078186297,63350.62029486398,9.039134978526087
Paris,Mercy,232818.09553395992,18588.633034863004,12.524756129044524
Paris,Moira,237838.78372773997,8768.502212332998,27.124220074121325
Paris,Zenyatta,513165.9194374601,39161.29246916702,13.103906614969171
Rialto,Ana,456684.74042586336,27335.042102498803,16.70693385850377
Rialto,Baptiste,923605.6194944191,47406.72584782181,19.48258613048376
Rialto,Brigitte,1498760.5739716918,102123.29597544545,14.675991013177386
Rialto,Lúcio,936363.6690535155,97321.72032256557,9.62132261893859
Rialto,Mercy,252480.9262853872,19492.024724825547,12.953037452482858
Rialto,Moira,379680.2099981999,14694.078823563998,25.838993689711934
Rialto,Zenyatta,1529655.2820467995,101263.45398240197,15.105699261577923
Route 66,Ana,590391.1862482675,40718.612006687705,14.499295461036358
Route 66,Baptiste,938207.9040313872,55457.336378212305,16.917651753645778
Route 66,Brigitte,921910.8804600553,62764.69919912586,14.68836610743918
Route 66,Lúcio,924308.4712259702,92620.59257386751,9.979513686319901
Route 66,Mercy,1566524.4477754515,92612.54640499203,16.914818872651278
Route 66,Moira,528166.0463080249,22017.342934128854,23.988636952614307
Route 66,Zenyatta,2094629.4050418008,175846.29881656807,11.911705956500045
Temple of Anubis,Ana,1465828.5114999756,97348.4197494803,15.057548086267738
Temple of Anubis,Baptiste,1307720.9722678068,65514.04801142382,19.960924594978113
Temple of Anubis,Brigitte,1830287.1221045246,125701.7710441704,14.560551588898292
Temple of Anubis,Lúcio,1576899.9713866557,141055.17540457987,11.179313108248106
Temple of Anubis,Mercy,2427224.7258985057,150005.35001343954,16.18092105168943
Temple of Anubis,Moira,952601.484364298,37919.777468851535,25.121494585425616
Temple of Anubis,Zenyatta,2232587.6809920417,181096.09425023466,12.328193439153361
Volskaya Industries,Ana,1576986.0435970798,112496.16046360601,14.01813214867236
Volskaya Industries,Baptiste,1326309.9569381885,72212.32666045337,18.366808248328244
Volskaya Industries,Brigitte,2019965.5061933242,148497.92905188745,13.6026510207258
Volskaya Industries,Lúcio,1376745.3236966825,142079.8908264804,9.689937933427021
Volskaya Industries,Mercy,2126266.6301666275,134910.38867493637,15.760584867113684
Volskaya Industries,Moira,778278.2734078451,30978.198780697603,25.12341917996818
Volskaya Industries,Zenyatta,2458462.4901487916,208143.7887103837,11.811366101198224
Watchpoint: Gibraltar,Ana,1710165.1612624924,110115.476322465,15.530652169676864
Watchpoint: Gibraltar,Baptiste,319807.4940073853,19473.62870126003,16.422593801775236
Watchpoint: Gibraltar,Brigitte,2388075.3496441403,172738.12041464547,13.824831160092149
Watchpoint: Gibraltar,Lúcio,1008844.1930179008,99539.23639494821,10.135140971094504
