map_name,hero,Damage Blocked,Time Played,Damage Blocked per Second
Nepal,Brigitte,521465.4249880568,87438.01442937032,5.963829672839611
Nepal,D.Va,2707772.533190732,171866.77293854396,15.755067060920355
Nepal,Mei,416892.5710593006,38276.75095951973,10.891534955518896
Nepal,Orisa,1756486.893814396,51627.78129839949,34.022126259159016
Nepal,Reinhardt,2847981.5529304664,88170.0031077819,32.30102588801092
Nepal,Sigma,794964.1637434316,33382.39304462902,23.81387585607304
Nepal,Symmetra,50036.976728038564,6838.229992726148,7.317240979209984
Nepal,Winston,1742777.1932332807,99758.66632132744,17.469932763733144
Nepal,Zarya,804304.1160078545,74462.35778438655,10.801486011721522
Numbani,All Heroes,11767331.12609374,1728594.5222526242,6.80745598496928
Numbani,Brigitte,546260.8592090195,102817.05718530492,5.312940033135801
Numbani,D.Va,2862176.182713309,200809.12087148422,14.253218032586638
